iter	MultiClass
216	0.2020052031
217	0.2014588399
218	0.2009142433
219	0.2005570344
220	0.200127255
221	0.1996117409
222	0.1993976122
223	0.1989233772
224	0.1983854925
225	0.1979313302
226	0.197342235
227	0.1971204992
228	0.1968942655
229	0.1966496965
230	0.196154337
231	0.1957182134
232	0.1952725733
233	0.195010037
234	0.1945780558
235	0.1943241142
236	0.1940581291
237	0.1937031799
238	0.1933179531
239	0.1928133966
240	0.1924341592
241	0.1920296327
242	0.1914806395
243	0.1911749575
244	0.1909654989
245	0.1906594958
246	0.1905067677
247	0.1902204548
248	0.1899436959
249	0.1896913787
250	0.1893094537
251	0.1888637945
252	0.1883400626
253	0.1880457637
254	0.1877411231
255	0.1875046326
256	0.1871425941
257	0.18668548
258	0.186378124
259	0.1858935206
260	0.1855410774
261	0.1849559303
262	0.1845374058
263	0.1841689439
264	0.1837017186
265	0.1833986543
266	0.1832553753
267	0.1828652775
268	0.1825257843
269	0.1823507822
270	0.182085516
271	0.1819053905
272	0.1817264362
273	0.1813883244
274	0.18107114
275	0.1807695764
276	0.180410853
277	0.1799233546
278	0.1794591457
279	0.1791390466
280	0.1787212574
281	0.1782736995
282	0.1779615876
283	0.1776120903
284	0.1773004172
285	0.1768630152
286	0.1765790519
287	0.1762318766
288	0.1760191244
289	0.1758898674
290	0.1756302467
291	0.175358526
292	0.1751482828
293	0.174925273
294	0.1746185557
295	0.1744509465
296	0.1741379269
297	0.1737248104
298	0.1732936973
299	0.1730229855
300	0.1727252816
301	0.1724383076
302	0.1723094177
303	0.1719818622
304	0.1718062589
305	0.1715345051
306	0.1712535453
307	0.1709467908
308	0.1707734547
309	0.1705736342
310	0.1703749354
311	0.1699491345
312	0.1695464284
313	0.1693469894
314	0.1689929547
315	0.1687985093
316	0.1684858576
317	0.1680752283
318	0.1678417655
319	0.1675145539
320	0.1673576858
321	0.1670623175
322	0.1668716651
323	0.1665932541
324	0.1663212984
325	0.1661769922
326	0.1659390956
327	0.1657426631
328	0.1654004398
329	0.1651266551
330	0.1648224816
331	0.1643838606
332	0.1641378852
333	0.1639139026
334	0.163570271
335	0.1631758099
336	0.1629926228
337	0.1628651297
338	0.1626044942
339	0.1623951537
340	0.1619754043
341	0.161608547
342	0.1613596722
343	0.1611393383
344	0.1609045706
345	0.1606456718
346	0.1604058116
347	0.1601478114
348	0.159911736
349	0.1595884819
350	0.1592835002
351	0.1590811723
352	0.1588130523
353	0.1585006606
354	0.158285474
355	0.1578832229
356	0.1576576755
357	0.1572921263
358	0.1570302191
359	0.1568322334
360	0.1563694835
361	0.1562777113
362	0.1559223543
363	0.1556404975
364	0.1554444231
365	0.1552352605
366	0.1550762959
367	0.1546483513
368	0.1545053393
369	0.1543396072
370	0.1541371914
371	0.1540206656
372	0.1538186297
373	0.153625933
374	0.1533849613
375	0.1531169796
376	0.1527723598
377	0.1525908495
378	0.1523634196
379	0.1521178897
380	0.1518499266
381	0.151694159
382	0.1515426758
383	0.1513397146
384	0.1511581647
385	0.1509370795
386	0.1507626546
387	0.1506237682
388	0.1502466224
389	0.1500112304
390	0.1498015444
391	0.1495962297
392	0.1493029997
393	0.1490699461
394	0.1489001023
395	0.1487983928
396	0.1486900565
397	0.1483404198
398	0.1480570734
399	0.1478175587
400	0.1476849359
401	0.1475226928
402	0.1473462875
403	0.1471940746
404	0.1468839201
405	0.1466850061
406	0.146519022
407	0.14637327
408	0.1462095678
409	0.1459135754
410	0.1456511987
411	0.145344823
412	0.145159726
413	0.1448519473
414	0.1445646426
415	0.1443724406
416	0.1440003381
417	0.1437579601
418	0.1434887524
419	0.1432662245
420	0.1430165735
421	0.1427924495
422	0.1425206389
423	0.1423089892
424	0.1420667585
425	0.1419090043
426	0.141733715
427	0.1413938561
428	0.1412364065
429	0.1410530875
430	0.1409251049
431	0.1407218962
432	0.1405495646
433	0.1403444755
434	0.1400870417
435	0.1398879893
436	0.1397331429
437	0.1395177846
438	0.1393530762
439	0.1391105749
440	0.1388453522
441	0.1386159729
442	0.1385009653
443	0.1381466583
444	0.137880878
445	0.1377272744
446	0.1375186025
447	0.1372581145
448	0.1371022434
449	0.1367724451
450	0.1364530415
451	0.1361138567
452	0.1359137577
453	0.1357045507
454	0.1355771225
455	0.1353046548
456	0.1351485359
457	0.1349891663
458	0.1348870935
459	0.1347251397
460	0.1345761177
461	0.1344276198
462	0.1342826875
463	0.1341641798
464	0.1339873944
465	0.1338365961
466	0.1336824844
467	0.1334182484
468	0.133221058
469	0.132923418
470	0.13282306
471	0.1326737676
472	0.1324560598
473	0.1322449628
474	0.1320526399
475	0.1317965296
476	0.1316372454
477	0.1315210235
478	0.131447448
479	0.1312810709
480	0.1311338457
481	0.1309818908
482	0.1308113984
483	0.1306611415
484	0.1304944035
485	0.1303199457
486	0.130097484
487	0.1299783807
488	0.1297677083
489	0.1295366647
490	0.1293940125
491	0.1291126772
492	0.1288834171
493	0.1285730711
494	0.1284569111
495	0.128371029
496	0.128241459
497	0.1280654319
498	0.1279833386
499	0.1278747756
500	0.1277523844
501	0.1274106435
502	0.127130385
503	0.1268928778
504	0.1267498338
505	0.12661028
506	0.1264503782
507	0.1263216927
508	0.1261393414
509	0.1260482835
510	0.1259493163
511	0.1258067528
512	0.1256450087
513	0.1255155579
514	0.1253327126
515	0.1252138115
516	0.1250267816
517	0.1249197494
518	0.1247743298
519	0.1246056721
520	0.1244650473
521	0.1243399399
522	0.1241869978
523	0.1239487895
524	0.1237306248
525	0.12359438
526	0.123424808
527	0.1233156582
528	0.1230208794
529	0.1226748886
530	0.1225043881
531	0.1223964722
532	0.1221091509
533	0.1219850409
534	0.1218540144
535	0.1216712195
536	0.1214743022
537	0.1213526737
538	0.1212325119
539	0.1211062888
540	0.1208822256
541	0.1206371675
542	0.1204790213
543	0.1202792093
544	0.1200979963
545	0.1198336778
546	0.1197538734
547	0.1196559786
548	0.1195654769
549	0.1194768203
550	0.1193575005
551	0.1191525811
552	0.1190063095
553	0.1188998024
554	0.1187166629
555	0.1185383528
556	0.1184434727
557	0.1182743354
558	0.1181400571
559	0.1179256008
560	0.1177542939
561	0.117659855
562	0.1174656701
563	0.1172877254
564	0.1170639647
565	0.1169232136
566	0.1167777
567	0.1166644532
568	0.1165803098
569	0.116395596
570	0.1163265563
571	0.1160904639
572	0.1160344161
573	0.1158239635
574	0.1155948833
575	0.1154168619
576	0.1153632659
577	0.1151500131
578	0.1150966463
579	0.1150237227
580	0.1149325986
581	0.1148529651
582	0.1147008785
583	0.1145474044
584	0.1143820863
585	0.1141995277
586	0.1140579084
587	0.1139278994
588	0.1138164949
589	0.1136279819
590	0.1134765618
591	0.1133851914
592	0.1133119901
593	0.1131409025
594	0.1129738791
595	0.1128776648
596	0.1127507375
597	0.1126149856
598	0.1124156897
599	0.1122958852
600	0.1121552141
601	0.1120420789
602	0.1119392899
603	0.1118308622
604	0.1116257997
605	0.1114931252
606	0.1113411115
607	0.1112901899
608	0.1110231853
609	0.1109011249
610	0.1107438064
611	0.1105210519
612	0.1104160828
613	0.1103121148
614	0.1101563289
615	0.1100357208
616	0.1098460424
617	0.1096233243
618	0.1093200385
619	0.1091654076
620	0.1088995643
621	0.1087279827
622	0.1086221386
623	0.1085223944
624	0.1083160484
625	0.108184115
626	0.1080740152
627	0.1080169868
628	0.1078759913
629	0.1077314263
630	0.1076000958
631	0.1074641959
632	0.1072346486
633	0.1071404676
634	0.1069750877
635	0.1068129909
636	0.1066374849
637	0.1065164614
638	0.1063983365
639	0.1063177393
640	0.1062583177
641	0.1061518762
642	0.1060246823
643	0.1059005316
644	0.1058170904
645	0.1057319059
646	0.1055779865
647	0.1054141545
648	0.1053459558
649	0.1052737863
650	0.1050784178
651	0.1049592988
652	0.1048916176
653	0.1047795599
654	0.1046452543
655	0.1044615776
656	0.104344957
657	0.1041843722
658	0.1040406784
659	0.1038855513
660	0.1037873979
661	0.1037051807
662	0.1035497057
663	0.1034226918
664	0.1033035791
665	0.103177096
666	0.1030409872
667	0.1029101865
668	0.1028307878
669	0.1026755968
670	0.1025782362
671	0.1024176336
672	0.1022910509
673	0.1021473277
674	0.1020596813
675	0.1019647825
676	0.101799612
677	0.101710031
678	0.1016184281
679	0.1015370511
680	0.1014507384
681	0.1013639269
682	0.1013229894
683	0.1012382475
684	0.1011030303
685	0.1009683553
686	0.1008788195
687	0.1007342802
688	0.1006007518
689	0.1005063046
690	0.1003459322
691	0.1002102758
692	0.1001383255
693	0.1000722445
694	0.09996576908
695	0.09990416863
696	0.09980269086
697	0.09972618202
698	0.09964890576
699	0.0995782522
700	0.09947437582
701	0.09936368267
702	0.09928683274
703	0.09919182974
704	0.09915359182
705	0.09906382957
706	0.09898681731
707	0.09883379543
708	0.09868196308
709	0.09855885021
710	0.09840831102
711	0.09830217771
712	0.09819636353
713	0.09808197654
714	0.09802659748
715	0.0979731668
716	0.09787650612
717	0.09777086847
718	0.09766210421
719	0.09753442298
720	0.09748411113
721	0.09740808423
722	0.09733564582
723	0.09720380267
724	0.09709723925
725	0.09698989713
726	0.09690963271
727	0.09682543202
728	0.09670335417
729	0.09657255657
730	0.09642154296
731	0.09625576304
732	0.09615744587
733	0.09602923768
734	0.09595972709
735	0.09585734405
736	0.09575506618
737	0.09570569444
738	0.0955665789
739	0.09544750834
740	0.09527023302
741	0.09518606862
742	0.09511965807
743	0.09501809494
744	0.09495566372
745	0.09487687534
746	0.09478862459
747	0.09471170167
748	0.094618634
749	0.09452546382
750	0.0944073551
751	0.0943326175
752	0.09422511468
753	0.09412688078
754	0.09401436725
755	0.09397736206
756	0.09381277956
757	0.09373750898
758	0.09358548
759	0.09353044796
760	0.09342651509
761	0.09334248987
762	0.09321441888
763	0.09312819587
764	0.09302896447
765	0.09289600793
766	0.09283378441
767	0.09275965398
768	0.0926817768
769	0.09249752349
770	0.09239167305
771	0.09230332013
772	0.09224101502
773	0.09218129788
774	0.0920844872
775	0.09194525635
776	0.09184058816
777	0.09172007929
778	0.09162729867
779	0.09152475281
780	0.09136290312
781	0.09129908283
782	0.09117574865
783	0.09112586642
784	0.09104154028
785	0.09085809338
786	0.09071423912
787	0.09051853016
788	0.0903981452
789	0.09028817453
790	0.09017908366
791	0.09007397663
792	0.08996342035
793	0.08979696461
794	0.08971629942
795	0.08959735331
796	0.08953230958
797	0.08946645772
798	0.08932918816
799	0.08918289235
800	0.08908495668
801	0.08901960946
802	0.08896756111
803	0.0888816091
804	0.08879220824
805	0.08873408956
806	0.088615076
807	0.08853040583
808	0.08843091134
809	0.08838941565
810	0.08824596093
811	0.08816974512
812	0.0880575972
813	0.08797059946
814	0.0878626183
815	0.08773027137
816	0.08760006043
817	0.08752044829
818	0.08741993031
819	0.08729264619
820	0.0871921465
821	0.08710573342
822	0.08700234977
823	0.08690616071
824	0.08679569394
825	0.08670659904
826	0.08666088055
827	0.08658847681
828	0.08649030744
829	0.08637345881
830	0.08628970404
831	0.086238021
832	0.08617962618
833	0.08607662328
834	0.08601037844
835	0.08594263985
836	0.08582769771
837	0.08572783637
838	0.08563202086
839	0.08556971899
840	0.08548565272
841	0.08541477689
842	0.08529921881
843	0.08520119009
844	0.08505996472
845	0.08496550838
846	0.08488829808
847	0.08482786219
848	0.08468745053
849	0.08460399436
850	0.08451264301
851	0.08437667502
852	0.08428379961
853	0.08420843596
854	0.08413895556
855	0.0840603841
856	0.08398959583
857	0.0838864585
858	0.08382568295
859	0.0837819339
860	0.08370981441
861	0.083625171
862	0.08356190462
863	0.0835117571
864	0.0834666117
865	0.08338614779
866	0.08331177718
867	0.08326223782
868	0.08320208637
869	0.08310784845
870	0.0830339047
871	0.08294639962
872	0.08287205807
873	0.08281885671
874	0.08266148016
875	0.08255646397
876	0.0824665369
877	0.08237884043
878	0.0823032554
879	0.08221015179
880	0.08211949289
881	0.08206719028
882	0.08199018381
883	0.08191133494
884	0.08183509168
885	0.08176691818
886	0.08169153323
887	0.08164091783
888	0.0815809835
889	0.08148779082
890	0.08137486485
891	0.08131161983
892	0.08125236586
893	0.08114990439
894	0.08105636897
895	0.08092704565
896	0.08084291395
897	0.08078668201
898	0.08070296053
899	0.0806332084
900	0.08055919639
901	0.08048984778
902	0.08039009302
903	0.08034206824
904	0.08027962843
905	0.08019717978
906	0.0801278657
907	0.08008440408
908	0.07999645167
909	0.0799307113
910	0.07986828838
911	0.07980523954
912	0.07972093288
913	0.07962582773
914	0.07954627364
915	0.0794437661
916	0.07937083833
917	0.07931677259
918	0.07924471337
919	0.07909666024
920	0.07902087144
921	0.0789154018
922	0.07884891407
923	0.07875547836
924	0.07866546947
925	0.07862308459
926	0.07856130993
927	0.07847427923
928	0.07842762198
929	0.07832633158
930	0.07821706115
931	0.07810344895
932	0.07804472872
933	0.07800714031
934	0.07794617652
935	0.07787004115
936	0.07783376914
937	0.07779948334
938	0.07772261806
939	0.0776700738
940	0.07760296818
941	0.07755443163
942	0.07751914381
943	0.07742208619
944	0.0773637626
945	0.07726586747
946	0.07719931304
947	0.07715683542
948	0.07708306243
949	0.07700162741
950	0.07692566856
951	0.07684448165
952	0.07674715778
953	0.07672193898
954	0.0766697159
955	0.07659297592
956	0.07649470618
957	0.07642250024
958	0.07632193345
959	0.07625430957
960	0.07622338521
961	0.07614268925
962	0.07608244801
963	0.07599460719
964	0.07589677571
965	0.0758361505
966	0.07577289831
967	0.07569953702
968	0.07560140772
969	0.07552462591
970	0.07546535344
971	0.07539212542
972	0.07534857202
973	0.07526213227
974	0.07515151424
975	0.07508638617
976	0.07500445646
977	0.07492672899
978	0.0748660272
979	0.07478752639
980	0.07471132839
981	0.07467175667
982	0.07462855355
983	0.07455656212
984	0.07450011783
985	0.07440793881
986	0.07432204993
987	0.07428727987
988	0.0741389753
989	0.0740646466
990	0.07396734419
991	0.07393055393
992	0.07385621544
993	0.07380062181
994	0.07372194667
995	0.07366929486
996	0.07361380283
997	0.07356603647
998	0.07351866907
999	0.0734083261
